model_name,vehicle_class,fleet_vehicle_days,booked_hours,booked_revenue_krw,stockout_days,booked_vehicle_days,utilization_rate,repair_cost_raw_krw,repair_cost_winsorized_krw,repair_cost_removed_as_excess_krw,repair_cost_outlier_cap_vehicle_level_krw,depreciation_cost_krw,depreciation_status,profit_proxy_before_depreciation_krw,profit_margin_proxy_before_depreciation
20년 벤츠 C클래스 카브리올레(휘),IMPORTED,2352,5408.166666666667,20109180.0,0,225.3402777777778,0.09580794123204839,29628513.0,3633932.000000002,25994581.0,908483.0000000005,,unavailable_purchase_sale_fields,16475247.999999998,0.8192898964552507
22년 스타리아 9인승(경유),RV,4855,4740.533333333334,16394375.0,0,197.52222222222224,0.04068428882023115,77330.0,77330.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,16317045.0,0.9952831382715108
23년 K8(LPG),LUXURY,1764,7081.75,15979395.0,13,295.0729166666667,0.16727489606953894,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,15979395.0,1.0
24년 스타리아 11인승 4륜(경유),RV,1176,4459.0,15815755.0,40,185.79166666666666,0.1579861111111111,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,15815755.0,1.0
26년 더 K5 하이브리드(휘),MIDSIZE,1119,7423.3,15550870.0,0,309.3041666666667,0.27641123026511766,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,15550870.0,1.0
20년 K5(LPG),MIDSIZE,4704,10608.683333333332,15276910.0,0,442.0284722222222,0.09396863780234316,121270.0,121270.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,15155640.0,0.992061876387306
21년 G80(휘),LUXURY,1764,5578.433333333333,15805989.0,5,232.43472222222223,0.13176571554547745,789160.0,789160.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,15016829.0,0.9500720897629373
26년 더 K8(휘),LUXURY,788,4974.583333333333,15004920.0,4,207.27430555555554,0.2630384588268471,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,15004920.0,1.0
21년 4세대 카니발 리무진 7인승(경유),RV,2940,5079.8,15328720.0,2,211.65833333333333,0.07199263038548753,351120.0,351120.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,14977600.0,0.9770939778402893
24년 더 뉴 카니발 하이브리드 9인승(휘),RV,1176,4501.0,14929955.0,42,187.54166666666666,0.15947420634920634,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,14929955.0,1.0
20년 더 뉴 그랜저(휘),LUXURY,2352,6648.133333333333,14977100.0,8,277.00555555555553,0.11777447089947089,171490.0,171490.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,14805610.0,0.9885498527752369
23년 4세대 쏘렌토(5인/경유),SUV,1764,5942.366666666667,14667590.0,10,247.59861111111113,0.1403620244394054,43680.0,43680.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,14623910.0,0.9970220056600982
26년 테슬라 모델Y RWD(전기),IMPORTED,708,3321.6,15506008.0,0,138.4,0.19548022598870057,3219090.0,908483.0000000005,2310606.9999999995,908483.0000000005,,unavailable_purchase_sale_fields,14597525.0,0.9414109034382028
23년 카니발 하이리무진 9인승(경유),RV,1764,3949.1666666666665,15229290.0,0,164.54861111111111,0.09328152557319225,921250.0,908483.0000000005,12766.999999999534,908483.0000000005,,unavailable_purchase_sale_fields,14320807.0,0.9403463326261434
